,kernel,c,gamma,precision,accuracy,recall,f1_score,score,Standardize
0,rbf,0.2,0.11,0.8571428571428571,0.7570093457943925,0.5217391304347826,0.6486486486486486,0.7570093457943925,True
0,rbf,0.2,0.12,0.8571428571428571,0.7570093457943925,0.5217391304347826,0.6486486486486486,0.7570093457943925,True
0,rbf,0.2,0.13,0.8571428571428571,0.7570093457943925,0.5217391304347826,0.6486486486486486,0.7570093457943925,True
0,rbf,0.2,0.14,0.8571428571428571,0.7570093457943925,0.5217391304347826,0.6486486486486486,0.7570093457943925,True
0,rbf,0.2,0.15000000000000002,0.8571428571428571,0.7570093457943925,0.5217391304347826,0.6486486486486486,0.7570093457943925,True
0,rbf,0.2,0.16,0.8571428571428571,0.7570093457943925,0.5217391304347826,0.6486486486486486,0.7570093457943925,True
0,rbf,0.2,0.17,0.8666666666666667,0.7757009345794392,0.5652173913043478,0.6842105263157895,0.7757009345794392,True
0,rbf,0.2,0.18000000000000002,0.8387096774193549,0.7663551401869159,0.5652173913043478,0.6753246753246753,0.7663551401869159,True
0,rbf,0.2,0.19,0.8387096774193549,0.7663551401869159,0.5652173913043478,0.6753246753246753,0.7663551401869159,True
0,rbf,0.2,0.2,0.8125,0.7570093457943925,0.5652173913043478,0.6666666666666667,0.7570093457943925,True
0,rbf,0.2,0.21000000000000002,0.8125,0.7570093457943925,0.5652173913043478,0.6666666666666667,0.7570093457943925,True
0,rbf,0.2,0.22,0.8064516129032258,0.7476635514018691,0.5434782608695652,0.6493506493506493,0.7476635514018691,True
0,rbf,0.2,0.23,0.8064516129032258,0.7476635514018691,0.5434782608695652,0.6493506493506493,0.7476635514018691,True
0,rbf,0.2,0.24000000000000002,0.8064516129032258,0.7476635514018691,0.5434782608695652,0.6493506493506493,0.7476635514018691,True
0,rbf,0.2,0.25,0.8064516129032258,0.7476635514018691,0.5434782608695652,0.6493506493506493,0.7476635514018691,True
0,rbf,0.2,0.26,0.8064516129032258,0.7476635514018691,0.5434782608695652,0.6493506493506493,0.7476635514018691,True
0,rbf,0.2,0.27,0.8,0.7383177570093458,0.5217391304347826,0.6315789473684211,0.7383177570093458,True
0,rbf,0.2,0.28,0.8,0.7383177570093458,0.5217391304347826,0.6315789473684211,0.7383177570093458,True
0,rbf,0.2,0.29000000000000004,0.8,0.7383177570093458,0.5217391304347826,0.6315789473684211,0.7383177570093458,True
0,rbf,0.2,0.3,0.8,0.7383177570093458,0.5217391304347826,0.6315789473684211,0.7383177570093458,True
0,rbf,0.2,0.31,0.7931034482758621,0.7289719626168224,0.5,0.6133333333333334,0.7289719626168224,True
